Output,Actual,Expected
0.0372338,1,1
0.0546824,1,1
0.0576997,1,1
0.02647,1,1
0.00244261,1,1
0.0222338,1,1
0.00254477,1,1
0.00609436,1,1
0.00393716,1,1
0.0467125,1,1
0.0603734,1,1
0.0208636,1,1
0.00264022,1,1
0.0373453,1,1
0.0145148,1,1
0.0323278,1,1
0.0150253,1,1
0.0786526,1,1
0.00214838,1,1
0.00313372,1,1
0.00218607,1,1
0.00314359,1,1
0.00525329,1,1
0.00382449,1,1
0.0643509,1,1
0.0150559,1,1
0.00352342,1,1
0.00303176,1,1
0.00626733,1,1
0.0538305,1,1
0.0437583,1,1
0.00276934,1,1
0.0114774,1,1
0.0206109,1,1
0.00224269,1,1
0.00347903,1,1
0.0047113,1,1
0.0177375,1,1
0.0327451,1,1
0.00264858,1,1
0.128081,1,1
0.0952697,1,1
0.00802168,1,1
0.0257622,1,1
0.0031211,1,1
0.00632058,1,1
0.0359393,1,1
0.0264686,1,1
0.0226805,1,1
0.00274961,1,1
0.0198662,1,1
0.00752648,1,1
0.00421111,1,1
0.0240889,1,1
0.0201667,1,1
0.013498,1,1
0.0888344,1,1
0.0198658,1,1
0.00301535,1,1
0.0229285,1,1
0.00634051,1,1
0.0667667,1,1
0.0190667,1,1
0.00536205,1,1
0.0924582,1,1
0.0401045,1,1
0.00944324,1,1
0.026937,1,1
0.0121248,1,1
0.00297187,1,1
0.00321122,1,1
0.0334036,1,1
0.00421895,1,1
0.00452804,1,1
0.0431007,1,1
0.00353836,1,1
0.0230468,1,1
0.00298869,1,1
0.0274634,1,1
0.00960354,1,1
0.0241811,1,1
0.00373593,1,1
0.0336835,1,1
0.00328338,1,1
0.145694,1,1
0.0481223,1,1
0.0518218,1,1
0.0039158,1,1
0.00848691,1,1
0.00274881,1,1
0.00630273,1,1
0.0284257,1,1
0.0561343,1,1
0.0026976,1,1
0.0030599,1,1
0.0277642,1,1
0.00873444,1,1
0.0241913,1,1
0.0197506,1,1
0.0136139,1,1
0.0261981,1,1
0.00229227,1,1
0.0294447,1,1
0.0220617,1,1
0.0255412,1,1
0.0179007,1,1
0.00384126,1,1
0.00252123,1,1
0.0194532,1,1
0.0450638,1,1
0.0141592,1,1
0.010117,1,1
0.161762,1,1
0.063342,1,1
0.0229754,1,1
0.00838362,1,1
0.00337528,1,1
0.00324662,1,1
0.0227958,1,1
0.0227198,1,1
0.0290901,1,1
0.00488221,1,1
0.00327809,1,1
0.00244071,1,1
0.0056436,1,1
0.0214827,1,1
0.0517679,1,1
0.0271706,1,1
0.0027784,1,1
0.00339067,1,1
0.00387232,1,1
0.00668824,1,1
0.00331768,1,1
0.110502,1,1
0.022456,1,1
0.0158325,1,1
0.00324112,1,1
0.207239,1,1
0.0803918,1,1
0.0158727,1,1
0.00349008,1,1
0.0257869,1,1
0.0229709,1,1
0.00894653,1,1
0.00336304,1,1
0.0203173,1,1
0.0423134,1,1
0.258576,1,1
0.00584538,1,1
0.00257963,1,1
0.00403112,1,1
0.00279628,1,1
0.00479961,1,1
0.0222849,1,1
0.00309125,1,1
0.00243036,1,1
0.00301256,1,1
0.055109,1,1
0.0302649,1,1
0.00846776,1,1
0.00315699,1,1
0.0188006,1,1
0.0132042,1,1
0.00435132,1,1
0.0203818,1,1
0.0927112,1,1
0.0043226,1,1
0.0377355,1,1
0.00321262,1,1
